epoch,tr_loss,tr_f1,va_loss,va_f1,lr
1,1.082888007717948,0.29460397519332365,1.0892486341841356,0.3000768616220584,0.001
2,1.0614594851506245,0.31928002745533807,1.0918057994729669,0.2918690026553714,0.001
3,1.0580698523158034,0.32076825353200444,1.0793041403477008,0.3073298798023016,0.001
4,1.0565996305206895,0.3190634082349067,1.0929112723593175,0.29554766107169034,0.001
5,1.0552808618013743,0.312702647454119,1.0982900219556142,0.2918553388861764,0.001
6,1.0546291902605929,0.3129241829558192,1.116216678120916,0.2992751609669293,0.001
7,1.0537125098217819,0.3101512300199668,1.0919949025562294,0.3147600230583317,0.001
8,1.0526428433155925,0.31280399932508246,1.1606961963679898,0.27308007780191906,0.001
9,1.0519442143936584,0.31278930243583425,1.0868234055987476,0.26683500006972327,0.001
10,1.0516412362290137,0.30596867996223764,1.104049686026526,0.32037239141347235,0.001
11,1.050766328231996,0.30677598774866627,1.1193523834913204,0.30694511450612944,0.001
12,1.0509609197816885,0.30798445626096077,1.1154988524476452,0.2818423643612776,0.001
13,1.0503289128989535,0.304733781399569,1.0876579421041515,0.2815659866977827,0.001
14,1.0504086970396644,0.3059362826746419,1.0899307998209544,0.2860173742064697,0.0005
15,1.0475252855666064,0.30237605636750836,1.0972228442893697,0.2912249684960953,0.0005
16,1.047595894248069,0.30380751865329775,1.0902933406641733,0.2955158489121224,0.0005
17,1.0470130483457147,0.30454771032871386,1.0789651000758365,0.2815569186287578,0.0005
